class_id,class_name,instances,pixels,pixel_percent,image_presence,avg_area
0,Bush,77487,6768186811,6.4283902429021875,11.868030232963633,87346.09432549975
1,Dirt,35578,6465283588,6.140694264990914,8.164719617311935,181721.38928551352
2,Floor,16218,9493553480,9.01692997925469,9.169199978773245,585371.4070785547
3,Footpath,8581,1577957496,1.4987361983736425,3.6070321206286153,183889.6977042303
4,Grass,125406,9606269257,9.12398686484631,16.233918837986796,76601.35286190454
5,Gravel,7220,427656932,0.40618643157281553,2.477465525475896,59232.26204986149
6,Mud,39547,8456028987,8.031494364987449,12.017375615007316,213822.26178976914
7,Pothole,12697,679752660,0.6456257028882425,6.009445905889667,53536.47790816728
8,Puddle,21053,1544021143,1.4665036187187301,7.96003305308963,73339.72084738516
9,Road,55627,20092462747,19.083721399174376,20.642260952626433,361199.8264691607
10,Rubble,20548,1107417046,1.0518192142332643,4.592560022439712,53894.15252092661
11,Stairs,11904,5598169119,5.317113245782118,7.2671311282778275,470276.30367943546
12,Trees,271128,5833020814,5.540174220135452,13.823924068865658,21513.90049718214
13,Trench,3332,672621083,0.6388521664473162,1.8080646506303588,201867.0717286915
14,WaterBody,13910,6526742381,6.19906752156528,7.4733338892721495,469212.248813803
15,Fire,16970,1023874947,0.9724713432184835,8.405794904062649,60334.41054802593
16,Smoke,13151,3997704288,3.7969996923282965,9.090357746628358,303984.8139304996
17,Slushy,12907,12158946580,11.548507117416934,8.715857143940141,942042.812427365
18,Hill,9790,3256204013,3.0927264111634973,6.5583091373598466,332605.1085801839
